#99990 lat=-72.012 lon=2.537 elev=1277 name=TROLL_I_ANTARKTIS
37570 lat=59.38 lon=7.829 elev=740 name=BORSÆ
31570 lat=59.815 lon=8.1363 elev=946 name=MØSVATN_-_HAUG
31620 lat=59.8397 lon=8.1792 elev=977 name=MØSSTRAND_II
31660 lat=60.018 lon=7.913 elev=954 name=MOGEN
33250 lat=59.7057 lon=8.0317 elev=715 name=RAULAND
#33555 lat=59.6203 lon=7.8332 elev=490 name=EV134_VINJE
33890 lat=59.7662 lon=7.3653 elev=821 name=VÅGSLI
35340 lat=58.7182 lon=9.2103 elev=36 name=RISØR_BRANNSTASJON
38140 lat=58.34 lon=8.5225 elev=6 name=LANDVIK
#38150 lat=58.2968 lon=8.462 elev=70 name=E18_INNTJORHEIA
#36010 lat=58.5738 lon=8.8413 elev=60 name=EV18_HASLESTAD
36110 lat=58.4613 lon=8.7228 elev=50 name=ARENDAL_BRANNSTASJON_II
36140 lat=58.44 lon=8.8013 elev=20 name=REVESAND
36200 lat=58.3988 lon=8.7893 elev=12 name=TORUNGEN_FYR
35090 lat=58.8037 lon=9.098 elev=42 name=EIKELAND
#35110 lat=58.851 lon=9.1197 elev=85 name=FV76_ØSTERHOLTHEIA
35200 lat=58.8856 lon=8.9486 elev=240 name=GJERSTAD_I_AUST-AGDER
35210 lat=58.87 lon=9.0263 elev=32 name=GJERSTAD_JERNBANESTASJON
35860 lat=58.6361 lon=9.1479 elev=4 name=LYNGØR_FYR
36490 lat=58.5967 lon=8.717 elev=63 name=BØYLEFOSS
38600 lat=58.633 lon=8.2888 elev=245 name=MYKLAND
38730 lat=58.6007 lon=8.4162 elev=162 name=HYNNEKLEIV
#38250 lat=58.1995 lon=8.1865 elev=35 name=E18_STUDEVANN
38380 lat=58.5234 lon=8.0392 elev=259 name=DOVLAND
38421 lat=58.4213 lon=8.2893 elev=67 name=SENUMSTAD
38450 lat=58.5222 lon=8.35 elev=85 name=HEREFOSS
36560 lat=58.6582 lon=8.6313 elev=142 name=NELAUG
38800 lat=58.7917 lon=8.2165 elev=190 name=TOVDAL
39750 lat=58.6863 lon=7.803 elev=207 name=BYGLANDSFJORD_-_NESET
40250 lat=59.1972 lon=7.5273 elev=308 name=VALLE
40420 lat=59.3515 lon=7.3445 elev=599 name=BYKLE_-_KULTRAN
40510 lat=59.3335 lon=6.8817 elev=1105 name=BLÅSJØ
40880 lat=59.5766 lon=7.3897 elev=841 name=HOVDEN_-_LUNDANE
#40905 lat=59.6407 lon=7.4553 elev=915 name=RV9_HOVDEN
39040 lat=58.2 lon=8.0767 elev=12 name=KJEVIK
39100 lat=58.0731 lon=8.0531 elev=9 name=OKSØY_FYR
39150 lat=58.1505 lon=8.0527 elev=12 name=KRISTIANSAND_-_SØMSKLEIVA
39160 lat=58.1717 lon=8.019 elev=124 name=KRISTIANSAND_-_HOLDALSNUTEN
